WORD	POS	FREQ
if	IN	11
you	PRP	39
be	VBD	273
were	VBD	62
*	-NONE-	294
to	TO	251
journey	VB	1
the	DT	795
north	NNP	1
of	IN	231
england	NNP	1
,	,	678
would	MD	29
come	VB	8
a	DT	222
valley	NN	3
that	WDT	73
*t*-1	-NONE-	264
be	VBZ	42
is	VBZ	42
surround	VBN	3
surrounded	VBN	3
by	IN	55
moor	NNS	1
moors	NNS	1
as	RB	19
high	JJ	8
as	IN	84
mountain	NNS	1
mountains	NNS	1
.	.	444
it	PRP	115
in	IN	150
this	DT	35
where	WRB	20
find	VB	9
city	NN	3
bradford	NNP	12
once	RB	4
thousand	CD	2
spinning	JJ	1
jenny	NNS	1
jennies	NNS	1
*t*-3	-NONE-	13
hum	VBD	1
hummed	VBD	1
and	CC	309
clatter	VBD	1
clattered	VBD	1
spin	VBD	1
spun	VBD	1
*t*-2	-NONE-	47
wool	NN	1
into	IN	31
money	NN	2
for	IN	73
long-bearded	JJ	1
mill	NN	5
owner	NNS	3
owners	NNS	3
that	IN	83
all	DT	24
generally	RB	3
busy	JJ	3
beaver	NNS	1
beavers	NNS	1
quite	RB	6
please	VBN	2
pleased	VBN	2
with	IN	72
themselves	PRP	3
be	VBG	7
being	VBG	7
so	RB	22
successful	JJ	1
well	JJ	1
off	RB	1
was	VBD	211
know	VBN	7
known	VBN	7
resident	NNS	1
residents	NNS	1
go	VB	10
visit	VB	2
stately	JJ	1
city	NNP	3
hall	NNP	1
see	VB	9
there	RB	9
crest	NNP	1
which	WDT	30
those	DT	6
same	JJ	2
create	VBD	2
created	VBD	2
celebrate	VB	1
their	PRP$	21
achievement	NNS	1
achievements	NNS	1
show	VBZ	1
shows	VBZ	1
sinister	JJ	1
looking	JJ	1
boar	NN	24
translated_aposs	POS	70
head	NN	17
sit	VBG	6
sitting	VBG	6
on	IN	52
top	NN	3
well	NN	4
seem	VBZ	1
seems	VBZ	1
puzzling	JJ	1
at	IN	58
first	RB	6
but	CC	57
reason	NN	1
symbol	NN	2
matter	NN	2
legend	NN	2
there	EX	13
have	VBZ	9
has	VBZ	9
fearsome	JJ	2
live	VBD	1
lived	VBD	1
wood	NN	5
locate	VBN	1
located	VBN	1
just	RB	16
outside	IN	4
manor	NN	1
source	NN	1
great	JJ	4
trouble	NN	2
local	JJ	1
folk	NN	1
bring	VBG	1
bringing	VBG	1
terror	NN	1
peaceful	JJ	2
flock	NNS	1
flocks	NNS	1
ravage	VBG	1
ravaging	VBG	1
countryside	NN	1
around	RP	3
even	RB	13
worse	RBR	1
however	RB	13
most	RBS	10
like	VBD	4
liked	VBD	4
drink	VB	1
its	PRP$	10
fresh	JJ	1
water	NN	22
people	NNS	19
have	VBD	104
had	VBD	104
second	JJ	7
thought	NNS	1
thoughts	NNS	1
about	IN	11
visit	VBG	1
visiting	VBG	1
bore	VBD	1
brunt	NN	1
beast	NN	1
ferocity	NN	1
unfair	JJ	1
eye	NNS	10
eyes	NNS	10
region	NN	1
eventually	RB	1
issue	NN	1
reach	VBD	2
reached	VBD	2
ear	NNS	2
ears	NNS	2
kindly	JJ	2
lord	NN	7
manor	NNP	9
who	WP	68
often	RB	8
ask	VBN	3
asked	VBN	3
help	NN	3
lord	NNP	7
saw	VBD	13
severity	NN	2
problem	NN	4
face	VBD	1
faced	VBD	1
suggest	VBD	3
suggested	VBD	3
contest	NN	1
could	MD	38
solve	VB	1
he	PRP	96
say	VBD	30
said	VBD	30
whoever	WP	2
kill	VB	3
bring	VB	1
proof	NN	4
house	NNP	4
be	VB	45
reward	VBN	2
rewarded	VBN	2
land	NN	3
fame	NN	3
know	VBD	7
knew	VBD	7
them	PRP	14
rejoice	VBD	2
rejoiced	VBD	2
proclamation	NN	1
one	CD	26
question	NN	3
remain	VBD	3
remained	VBD	3
:	:	2
?	.	27
handsome	JJ	1
reward	NN	3
many	DT	1
felt	VBD	5
tempt	VBN	1
tempted	VBN	1
thought	NN	1
deadly	JJ	1
tusk	NNS	1
tusks	NNS	1
face	NN	7
like	IN	17
thunder	NN	1
soon	RB	4
put	VBD	3
an	DT	27
end	NN	4
ambition	NNS	1
ambitions	NNS	1
huntsman	NN	24
still	RB	6
wet	JJ	2
behind	IN	5
decide	VBD	7
decided	VBD	7
prize	NN	4
worth	JJ	1
shot	NN	1
spite	NN	1
reputation	NN	1
discover	VBD	2
discovered	VBD	2
prefer	VBD	1
preferred	VBD	1
out	RP	36
middle	NN	2
day	NN	18
so	IN	13
go	VBD	9
went	VBD	9
his	PRP$	52
good	JJ	7
bow	NN	1
bide	VB	1
time	NN	16
around	IN	9
noontime	NN	1
fear	VBN	1
feared	VBN	1
local	NNS	1
locals	NNS	1
come	VBD	13
came	VBD	12
slow	JJ	1
snail	NN	9
from	IN	48
among	IN	4
tree	NNS	1
trees	NNS	1
predict	VBN	1
predicted	VBN	1
leap	VBD	1
leaped	VBD	1
hiding	NN	2
place	NN	7
through	IN	12
heart	NN	4
fine	JJ	3
arrow	NNS	1
arrows	NNS	1
shoot	VBD	1
shot	VBD	1
now	RB	14
no	RB	5
longer	RB	4
way	NN	8
carry	VB	3
back	RB	17
too	RB	6
heavy	JJ	5
little	JJ	42
back	RP	1
quick-witted	JJ	1
cunning	JJ	4
ever	RB	3
ask	VBD	9
asked	VBD	9
himself	PRP	5
``	``	88
what	WP	15
else	RB	1
can	MD	13
i	PRP	71
do	VB	2
prove	VB	1
kill	VBD	1
killed	VBD	1
translated_apostranslated_apos	''	88
next	JJ	9
instance	NN	1
open	VBD	3
opened	VBD	3
mouth	NN	2
cut	VBD	3
tongue	NN	7
take	VBG	3
taking	VBG	3
that	DT	23
set	VBP	1
quickly	RB	3
only	RB	11
be	VBN	23
been	VBN	23
go	VBN	3
gone	VBN	3
few	JJ	9
minute	NNS	3
minutes	NNS	3
when	WRB	30
not	RB	58
bold	JJ	2
first	JJ	17
little	RB	2
more	RBR	11
scene	NN	1
see	VBG	1
seeing	VBG	1
slay	VBN	3
slain	VBN	3
carcass	NNS	1
fortune	NN	1
shortcut	NN	1
nearby	JJ	1
pond	NN	5
big	JJR	1
bigger	JJR	1
man	NN	13
than	IN	11
able	JJ	4
pick	VB	1
up	RP	25
carry	VBP	1
towards	IN	3
await	VBD	1
awaited	VBD	1
him	PRP	27
seat	VBN	1
seated	VBN	1
hall	NN	3
burst	VBP	3
door	NN	4
begin	VBD	7
began	VBD	7
spin	VB	1
line	NN	1
woe	NNS	2
woes	NNS	2
be	VBP	30
are	VBP	21
end	VBN	2
ended	VBN	2
!	.	25
announce	VBD	1
announced	VBD	1
my	PRP$	24
own	JJ	5
hand	NN	3
have	VBP	16
foot	NNS	8
feet	NNS	8
drop	VBD	1
dropped	VBD	1
enormous	JJ	1
then	RB	38
will	MD	8
promise	VBD	1
promised	VBD	1
but	RB	1
let	VB	4
me	PRP	19
examine	VB	2
monster	NN	1
advance	NN	1
very	RB	16
clever	JJ	1
part	NN	4
right	RB	8
away	RB	4
notice	VBD	2
noticed	VBD	2
miss	VBG	1
missing	VBG	1
exclaim	VBD	2
exclaimed	VBD	2
no	DT	22
look	VBD	13
looked	VBD	13
dubiously	RB	1
how	WRB	8
creature	NN	3
demand	VBD	1
demanded	VBD	1
question	VBN	1
questioned	VBN	1
reply	VBD	5
replied	VBD	5
say	VB	2
suddenly	RB	9
realize	VBG	1
realizing	VBG	1
tricky	JJ	2
situation	NN	2
end	VB	2
badly	RB	1
moment	NN	2
cry	VBD	9
cried	VBD	9
dread	VB	1
dreaded	VB	1
turn	VBD	2
turned	VBD	2
stand	VBD	3
stood	VBD	3
doorway	NN	2
already	RB	4
give	VBN	8
given	VBN	8
here	RB	2
bring	VBN	1
brought	VBN	1
say	VBG	2
saying	VBG	2
draw	VBD	2
drew	VBD	2
put	VBN	4
hunting	NN	2
pouch	NN	1
relate	VBN	1
related	VBN	1
ambush	VBD	1
ambushed	VBD	1
victory	NN	2
listen	VBG	1
listening	VBG	1
tale	NN	1
try	VBD	7
tried	VBD	7
discern	VB	1
tell	VBG	3
telling	VBG	3
truth	NN	1
two	CD	11
huntsmen	NN	1
think	VBG	2
thinking	VBG	2
they	PRP	42
wait	VBD	1
waited	VBD	1
make	VB	6
decision	NN	1
almost	RB	9
instantly	RB	1
feed	VBN	1
fed	VBN	1
pack	NN	1
lie	NNS	1
lies	NNS	1
true	JJ	6
savior	NN	1
believe	VBD	3
believed	VBD	3
try	VBN	1
tried	VBN	1
steal	VB	1
proclaim	VBD	1
proclaimed	VBD	1
victor	NN	1
wonder	VBD	2
wondered	VBD	2
