LABEL	FREQ
NOPOS	11732
shift	11729
NO	33112
NP	3991
reduce_unary	11247
*	294
postulate_gap	626
NP_BAR	3449
reduce_binary	11870
PP_BAR	1044
PP	1026
VP_BAR	3243
VP	2279
S_BAR	2792
S	1566
SBAR_BAR	491
SBAR	513
WHNP	217
*t*	326
YES	2360
ADJP_BAR	303
ADJP	272
ROOT	485
WHADVP	61
ADVP	422
SBAR-SBJ_BAR	6
SBAR-SBJ	5
PRN_BAR	10
PRN	7
NP-TPC_BAR	8
NP-TPC	7
ADVP_BAR	116
WHNP-	1
SQ_BAR	37
SQ	19
SBARQ_BAR	33
SBARQ	13
PRT	99
WHNP_BAR	7
NP-TMP_BAR	5
NP-TMP	5
S-ADV_BAR	9
S-ADV	9
ROOT_BAR	6
ADVP-TMP	28
S-TPC_BAR	50
S-TPC	24
NP-SBJ_BAR	19
NP-SBJ	18
SINV_BAR	56
SINV	16
S-SBJ_BAR	6
S-SBJ	6
FRAG_BAR	23
FRAG	14
WHADVP_BAR	2
*t*2	1
ADJP-TPC_BAR	1
ADJP-TPC	2
PP-TPC_BAR	3
PP-TPC	3
SBAR-TMP_BAR	21
SBAR-TMP	20
RB	1
UCP_BAR	15
UCP	4
WHPP_BAR	5
WHPP	5
ADVP-DIR	1
PRT_BAR	5
ADVP-LOC	14
CC	1
ADVP-MNR	3
VBD	1
NP-ADV_BAR	15
NP-ADV	13
ADVP-PRP	3
SBAR-PRP_BAR	7
SBAR-PRP	5
QP_BAR	25
QP	14
S-PRP_BAR	4
S-PRP	4
VP-TPC_BAR	2
VP-TPC	1
ADP-LOC	1
WHADJP_BAR	1
WHADJP	1
ADVP-TPC_BAR	6
ADVP-TPC	4
*rnr*	4
VBP	1
INTJ	11
INTJ_BAR	10
CONJP_BAR	9
CONJP	6
NP-VOC	4
ADVP-MRN	1
IN	2
FRAG-TPC_BAR	1
FRAG-TPC	2
SQ-ADV_BAR	3
SQ-ADV	2
VB_BAR	1
VB	1
SQ-TPC_BAR	6
SQ-TPC	2
SBAR-ADV_BAR	5
SBAR-ADV	5
*1	1
SBARQ-TPC_BAR	4
SBARQ-TPC	1
IN_BAR	2
PP-TMP_BAR	1
PP-TMP	1
RRC_BAR	1
RRC	2
SBAR-MNR_BAR	1
SBAR-MNR	1
SBAR-ADB_BAR	1
SBAR-ADB	1
IN	1167
PRP	590
VBD	1755
-NONE-	626
TO	251
VB	356
DT	1207
NNP	358
,	678
MD	127
NN	1536
WDT	106
VBZ	172
VBN	566
NNS	1064
RB	614
JJ	774
.	496
WRB	63
CD	90
CC	426
VBG	416
PRP$	184
POS	72
EX	13
RP	105
RBR	22
RBS	10
WP	85
:	2
``	88
''	88
VBP	147
JJR	65
PDT	14
WPD	1
JJS	23
NP	3
FW	6
UH	8
UH-ADV	1
NNPS	9
-LRB-	3
-RRB-	3
WP$	1
VPZ	2
NOPOS	485
